2026-04-07 17:13:54,364 | INFO | app | Application started and database initialized.
2026-04-07 17:15:33,588 | INFO | app | Application started and database initialized.
2026-04-07 17:33:50,520 | INFO | app | Application started and database initialized.
2026-04-07 17:37:03,670 | INFO | app | Application started and database initialized.
2026-04-07 18:10:26,710 | INFO | app | Application started and database initialized.
2026-04-07 18:10:57,485 | INFO | app | Application started and database initialized.
2026-04-07 18:39:09,691 | INFO | app | Application started and database initialized.
2026-04-07 18:39:58,664 | INFO | app | Application started and database initialized.
2026-04-07 21:07:31,737 | INFO | app | Application started and database initialized.
2026-04-07 21:22:23,320 | INFO | app | Application started and database initialized.
2026-04-07 21:22:46,879 | INFO | app | Application started and database initialized.
2026-04-07 22:03:00,511 | INFO | app | Application started and database initialized.
2026-04-08 17:07:51,268 | INFO | app | Application started and database initialized.
2026-04-08 18:51:27,091 | INFO | app | Application started and database initialized.
2026-04-08 18:51:47,052 | INFO | app | Application started and database initialized.
2026-04-08 18:52:13,075 | INFO | app | Application started and database initialized.
2026-04-08 18:52:37,819 | INFO | app | Application started and database initialized.
2026-04-08 18:57:17,918 | INFO | app | Application started and database initialized.
2026-04-08 18:59:14,250 | INFO | app | Application started and database initialized.
2026-04-08 19:04:38,951 | INFO | app | Application started and database initialized.
2026-04-08 19:07:24,113 | INFO | app | Application started and database initialized.
2026-04-08 19:18:22,337 | INFO | app | Application started and database initialized.
2026-04-08 19:20:23,915 | INFO | core.model_client | Calling model provider=fallback
2026-04-08 19:20:46,887 | INFO | core.model_client | Calling model provider=fallback
2026-04-08 19:20:52,149 | INFO | core.model_client | Calling model provider=fallback
2026-04-08 19:20:53,198 | INFO | core.model_client | Calling model provider=fallback
2026-04-08 22:09:22,402 | INFO | app | Application started and database initialized.
2026-04-08 23:17:59,761 | INFO | app | Application started and database initialized.
2026-04-08 23:30:13,442 | INFO | app | Application started and database initialized.
2026-04-08 23:32:11,964 | INFO | core.model_client | Calling model provider=fallback
2026-04-08 23:32:22,672 | INFO | core.model_client | Calling model provider=fallback
2026-04-08 23:58:59,401 | INFO | app | Application started and database initialized.
2026-04-09 00:30:44,547 | INFO | app | Application started and database initialized.
2026-04-09 00:33:05,940 | INFO | core.model_client | Calling model provider=fallback
2026-04-09 00:33:10,784 | INFO | core.model_client | Calling model provider=fallback
2026-04-09 00:33:13,939 | INFO | core.model_client | Calling model provider=fallback
2026-04-09 18:37:48,550 | INFO | app | Application started and database initialized.
2026-04-09 18:42:53,950 | INFO | app | Application started and database initialized.
2026-04-09 20:49:54,270 | INFO | app | Application started and database initialized.
2026-04-09 20:52:38,095 | INFO | core.model_client | Calling model provider=fallback
2026-04-09 20:52:54,539 | INFO | core.model_client | Calling model provider=fallback
2026-04-10 19:40:51,756 | INFO | app | Application started and database initialized.
2026-04-10 19:41:47,458 | INFO | app | Application started and database initialized.
2026-04-10 19:43:19,249 | INFO | app | Application started and database initialized.
2026-04-10 19:46:47,372 | INFO | app | Application started and database initialized.
2026-04-10 19:48:59,836 | INFO | app | Application started and database initialized.
2026-04-10 19:56:01,192 | INFO | app | Application started and database initialized.
2026-04-10 20:02:34,138 | INFO | app | Application started and database initialized.
2026-04-10 20:03:55,326 | INFO | app | Application started and database initialized.
2026-04-10 20:11:14,666 | INFO | app | Application started and database initialized.
2026-04-10 20:17:00,252 | INFO | app | Application started and database initialized.
2026-04-10 20:28:22,604 | INFO | app | Application started and database initialized.
2026-04-10 20:36:59,924 | INFO | app | Application started and database initialized.
2026-04-10 20:40:51,606 | INFO | app | Application started and database initialized.
2026-04-10 20:44:30,957 | INFO | app | Application started and database initialized.
2026-04-10 20:48:43,387 | INFO | app | Application started and database initialized.
2026-04-10 20:51:36,608 | INFO | app | Application started and database initialized.
2026-04-10 21:26:37,668 | INFO | app | Application started and database initialized.
2026-04-10 21:33:00,169 | INFO | app | Application started and database initialized.
2026-04-10 21:33:39,333 | INFO | app | Application started and database initialized.
2026-04-10 21:42:42,437 | INFO | app | Application started and database initialized.
2026-04-10 22:15:50,704 | INFO | core.model_client | Calling model provider=fallback
2026-04-10 22:24:05,987 | INFO | app | Application started and database initialized.
2026-04-10 22:27:25,890 | INFO | app | Application started and database initialized.
2026-04-10 22:27:40,118 | INFO | core.model_client | Calling model provider=fallback
2026-04-10 22:28:29,699 | INFO | app | Application started and database initialized.
2026-04-10 22:32:02,829 | INFO | app | Application started and database initialized.
2026-04-10 22:32:27,763 | INFO | core.model_client | Calling model provider=fallback
2026-04-11 09:03:38,502 | INFO | app | Application started and database initialized.
2026-04-11 09:06:19,803 | INFO | app | Application started and database initialized.
2026-04-11 09:06:47,945 | INFO | core.model_client | Calling model provider=openai
2026-04-11 09:08:53,422 | INFO | core.model_client | Calling model provider=openai
2026-04-11 09:10:06,494 | INFO | core.model_client | Calling model provider=openai
2026-04-11 09:10:27,249 | INFO | core.model_client | Calling model provider=openai
2026-04-11 09:10:53,633 | INFO | core.model_client | Calling model provider=openai
2026-04-11 09:11:16,681 | INFO | core.model_client | Calling model provider=openai
2026-04-11 09:12:15,224 | INFO | core.model_client | Calling model provider=openai
2026-04-11 09:13:00,280 | INFO | core.model_client | Calling model provider=openai
2026-04-11 09:20:08,292 | INFO | app | Application started and database initialized.
2026-04-11 09:20:09,975 | INFO | app | Application started and database initialized.
2026-04-11 09:20:11,679 | INFO | app | Application started and database initialized.
2026-04-11 09:20:13,391 | INFO | app | Application started and database initialized.
2026-04-11 09:20:15,006 | INFO | app | Application started and database initialized.
2026-04-11 09:20:17,999 | INFO | app | Application started and database initialized.
2026-04-11 09:20:19,957 | INFO | app | Application started and database initialized.
2026-04-11 09:20:21,747 | INFO | app | Application started and database initialized.
2026-04-11 09:20:23,308 | INFO | app | Application started and database initialized.
2026-04-11 09:20:24,856 | INFO | app | Application started and database initialized.
2026-04-11 09:21:09,059 | INFO | app | Application started and database initialized.
2026-04-11 09:22:28,766 | INFO | core.model_client | Calling model provider=openai
2026-04-11 09:25:53,127 | INFO | core.model_client | Calling model provider=openai
2026-04-11 09:26:11,472 | INFO | core.model_client | Calling model provider=openai
2026-04-11 09:28:22,393 | INFO | core.model_client | Calling model provider=openai
2026-04-11 09:28:41,121 | INFO | core.model_client | Calling model provider=openai
2026-04-11 09:30:32,950 | INFO | core.model_client | Calling model provider=openai
2026-04-11 09:43:46,380 | INFO | app | Application started and database initialized.
2026-04-11 09:43:48,249 | INFO | app | Application started and database initialized.
2026-04-11 09:43:49,647 | INFO | app | Application started and database initialized.
2026-04-11 09:43:59,835 | INFO | app | Application started and database initialized.
2026-04-11 09:44:09,824 | INFO | app | Application started and database initialized.
2026-04-11 09:44:11,230 | INFO | app | Application started and database initialized.
2026-04-11 09:44:12,900 | INFO | app | Application started and database initialized.
2026-04-11 09:44:14,281 | INFO | app | Application started and database initialized.
2026-04-11 09:44:15,770 | INFO | app | Application started and database initialized.
2026-04-11 09:44:18,297 | INFO | app | Application started and database initialized.
2026-04-11 09:44:27,550 | INFO | app | Application started and database initialized.
2026-04-11 09:44:28,971 | INFO | app | Application started and database initialized.
2026-04-11 09:44:30,651 | INFO | app | Application started and database initialized.
2026-04-11 09:44:32,615 | INFO | app | Application started and database initialized.
2026-04-11 09:46:27,589 | INFO | app | Application started and database initialized.
2026-04-11 09:50:59,290 | INFO | core.model_client | Calling model provider=openai
2026-04-11 10:00:54,215 | INFO | app | Application started and database initialized.
2026-04-11 10:02:35,456 | INFO | core.model_client | Calling model provider=openai
2026-04-11 10:11:00,605 | INFO | app | Application started and database initialized.
2026-04-11 10:25:13,901 | INFO | app | Application started and database initialized.
2026-04-11 10:31:10,609 | INFO | app | Application started and database initialized.
2026-04-11 10:34:14,364 | INFO | core.model_client | Calling model provider=openai
2026-04-11 11:00:10,990 | INFO | app | Application started and database initialized.
2026-04-11 11:05:53,159 | INFO | app | Application started and database initialized.
2026-04-11 11:08:10,709 | INFO | app | Application started and database initialized.
2026-04-11 11:09:56,537 | INFO | core.model_client | Calling model provider=openai
2026-04-11 11:10:40,829 | INFO | core.model_client | Calling model provider=openai
2026-04-11 11:12:18,989 | INFO | core.model_client | Calling model provider=openai
2026-04-11 11:12:38,208 | INFO | core.model_client | Calling model provider=openai
2026-04-11 11:13:44,131 | INFO | core.model_client | Calling model provider=openai
2026-04-11 11:14:06,784 | INFO | core.model_client | Calling model provider=openai
2026-04-11 11:16:02,348 | INFO | core.model_client | Calling model provider=openai
2026-04-11 11:16:09,347 | INFO | core.model_client | Calling model provider=openai
2026-04-11 11:16:27,977 | INFO | core.model_client | Calling model provider=openai
2026-04-11 11:28:47,377 | INFO | app | Application started and database initialized.
2026-04-11 11:28:50,018 | INFO | app | Application started and database initialized.
2026-04-11 11:28:55,090 | INFO | app | Application started and database initialized.
2026-04-11 11:34:44,003 | INFO | app | Application started and database initialized.
2026-04-11 11:34:51,453 | INFO | app | Application started and database initialized.
2026-04-11 11:34:55,591 | INFO | app | Application started and database initialized.
2026-04-11 11:35:02,020 | INFO | app | Application started and database initialized.
2026-04-11 20:43:10,896 | INFO | app | Application started and database initialized.
2026-04-11 20:43:57,948 | INFO | core.model_client | Calling model provider=openai
2026-04-11 20:44:04,780 | INFO | core.model_client | Calling model provider=openai
2026-04-11 20:44:08,819 | INFO | core.model_client | Calling model provider=openai
2026-04-11 20:44:12,014 | INFO | core.model_client | Calling model provider=openai
2026-04-11 20:44:15,913 | INFO | core.model_client | Calling model provider=openai
2026-04-11 20:44:19,240 | INFO | core.model_client | Calling model provider=openai
2026-04-11 20:44:23,548 | INFO | core.model_client | Calling model provider=openai
2026-04-11 20:44:27,924 | INFO | core.model_client | Calling model provider=openai
2026-04-11 20:44:31,893 | INFO | core.model_client | Calling model provider=openai
2026-04-11 20:44:34,737 | INFO | core.model_client | Calling model provider=openai
2026-04-11 20:44:38,808 | INFO | core.model_client | Calling model provider=openai
2026-04-11 20:44:41,479 | INFO | core.model_client | Calling model provider=openai
2026-04-11 20:44:45,620 | INFO | core.model_client | Calling model provider=openai
2026-04-11 20:44:48,926 | INFO | core.model_client | Calling model provider=openai
2026-04-11 20:44:52,517 | INFO | core.model_client | Calling model provider=openai
2026-04-11 20:44:55,065 | INFO | core.model_client | Calling model provider=openai
2026-04-11 20:44:57,924 | INFO | core.model_client | Calling model provider=openai
2026-04-11 20:45:01,461 | INFO | core.model_client | Calling model provider=openai
2026-04-11 20:46:20,761 | INFO | core.model_client | Calling model provider=openai
2026-04-11 20:46:53,736 | INFO | core.model_client | Calling model provider=openai
2026-04-11 20:51:34,369 | INFO | core.model_client | Calling model provider=openai
2026-04-11 20:51:40,735 | INFO | core.model_client | Calling model provider=openai
2026-04-11 21:46:13,964 | INFO | app | Application started and database initialized.
2026-04-11 21:46:23,361 | INFO | app | Application started and database initialized.
2026-04-11 21:56:23,422 | INFO | app | Application started and database initialized.
2026-04-11 21:56:54,119 | INFO | core.model_client | Calling model provider=openai
2026-04-11 21:57:03,063 | INFO | core.model_client | Calling model provider=openai
2026-04-11 21:57:24,942 | INFO | core.model_client | Calling model provider=openai (chat turns=2)
2026-04-11 21:57:28,275 | INFO | core.model_client | Calling model provider=openai (chat turns=4)
2026-04-11 21:57:30,885 | INFO | core.model_client | Calling model provider=openai (chat turns=6)
2026-04-11 21:57:33,853 | INFO | core.model_client | Calling model provider=openai (chat turns=8)
2026-04-11 21:57:36,092 | INFO | core.model_client | Calling model provider=openai (chat turns=10)
2026-04-11 21:57:41,281 | INFO | core.model_client | Calling model provider=openai (chat turns=12)
2026-04-11 21:57:43,247 | INFO | core.model_client | Calling model provider=openai (chat turns=14)
2026-04-11 21:57:46,206 | INFO | core.model_client | Calling model provider=openai (chat turns=16)
2026-04-11 21:57:48,843 | INFO | core.model_client | Calling model provider=openai (chat turns=18)
2026-04-11 21:57:51,016 | INFO | core.model_client | Calling model provider=openai (chat turns=20)
2026-04-11 21:57:53,339 | INFO | core.model_client | Calling model provider=openai (chat turns=22)
2026-04-11 21:57:55,816 | INFO | core.model_client | Calling model provider=openai (chat turns=24)
2026-04-11 21:57:58,026 | INFO | core.model_client | Calling model provider=openai (chat turns=26)
2026-04-11 21:57:59,893 | INFO | core.model_client | Calling model provider=openai (chat turns=28)
2026-04-11 21:58:01,390 | INFO | core.model_client | Calling model provider=openai (chat turns=30)
2026-04-11 21:58:03,162 | INFO | core.model_client | Calling model provider=openai (chat turns=32)
2026-04-11 21:58:04,739 | INFO | core.model_client | Calling model provider=openai (chat turns=34)
2026-04-11 21:58:06,002 | INFO | core.model_client | Calling model provider=openai (chat turns=36)
2026-04-11 22:05:30,596 | INFO | app | Application started and database initialized.
2026-04-11 22:05:53,845 | INFO | app | Application started and database initialized.
2026-04-11 22:05:56,557 | INFO | app | Application started and database initialized.
2026-04-11 22:11:11,045 | INFO | app | Application started and database initialized.
2026-04-11 22:11:41,816 | INFO | core.model_client | Calling model provider=openai
2026-04-11 22:11:48,791 | INFO | core.model_client | Calling model provider=openai
2026-04-11 22:12:03,306 | INFO | core.model_client | Calling model provider=openai (chat turns=2)
2026-04-11 22:12:06,066 | INFO | core.model_client | Calling model provider=openai (chat turns=4)
2026-04-11 22:12:09,183 | INFO | core.model_client | Calling model provider=openai (chat turns=6)
2026-04-11 22:12:11,679 | INFO | core.model_client | Calling model provider=openai (chat turns=8)
2026-04-11 22:12:13,880 | INFO | core.model_client | Calling model provider=openai (chat turns=10)
2026-04-11 22:12:16,009 | INFO | core.model_client | Calling model provider=openai (chat turns=12)
2026-04-11 22:12:18,589 | INFO | core.model_client | Calling model provider=openai (chat turns=14)
2026-04-11 22:12:22,888 | INFO | core.model_client | Calling model provider=openai (chat turns=16)
2026-04-11 22:12:25,193 | INFO | core.model_client | Calling model provider=openai (chat turns=18)
2026-04-11 22:12:27,219 | INFO | core.model_client | Calling model provider=openai (chat turns=20)
2026-04-11 22:12:29,278 | INFO | core.model_client | Calling model provider=openai (chat turns=22)
2026-04-11 22:12:31,284 | INFO | core.model_client | Calling model provider=openai (chat turns=24)
2026-04-11 22:12:32,831 | INFO | core.model_client | Calling model provider=openai (chat turns=26)
2026-04-11 22:12:34,634 | INFO | core.model_client | Calling model provider=openai (chat turns=28)
2026-04-11 22:12:36,805 | INFO | core.model_client | Calling model provider=openai (chat turns=30)
2026-04-11 22:12:38,854 | INFO | core.model_client | Calling model provider=openai (chat turns=32)
2026-04-11 22:12:40,590 | INFO | core.model_client | Calling model provider=openai (chat turns=34)
2026-04-11 22:12:42,151 | INFO | core.model_client | Calling model provider=openai (chat turns=36)
2026-04-11 22:21:38,954 | INFO | app | Application started and database initialized.
2026-04-11 22:26:49,844 | INFO | app | Application started and database initialized.
2026-04-11 22:30:55,245 | INFO | app | Application started and database initialized.
2026-04-11 22:31:17,965 | INFO | core.model_client | Calling model provider=openai
2026-04-11 22:31:27,184 | INFO | core.model_client | Calling model provider=openai
2026-04-11 22:31:44,971 | INFO | core.model_client | Calling model provider=openai (chat turns=2)
2026-04-11 22:32:02,419 | INFO | core.model_client | Calling model provider=openai (chat turns=4)
2026-04-11 22:32:29,307 | INFO | core.model_client | Calling model provider=openai (chat turns=6)
2026-04-11 22:32:44,367 | INFO | core.model_client | Calling model provider=openai (chat turns=8)
2026-04-11 22:33:23,765 | INFO | core.model_client | Calling model provider=openai (chat turns=10)
2026-04-11 22:33:33,146 | INFO | core.model_client | Calling model provider=openai (chat turns=12)
2026-04-11 22:34:52,126 | INFO | core.model_client | Calling model provider=openai
2026-04-11 22:35:33,958 | INFO | core.model_client | Calling model provider=openai
2026-04-11 22:37:40,856 | INFO | core.model_client | Calling model provider=openai
2026-04-11 22:38:03,128 | INFO | core.model_client | Calling model provider=openai (chat turns=2)
2026-04-11 22:38:16,570 | INFO | core.model_client | Calling model provider=openai (chat turns=4)
2026-04-11 22:38:32,431 | INFO | core.model_client | Calling model provider=openai (chat turns=6)
2026-04-11 22:38:39,481 | INFO | core.model_client | Calling model provider=openai (chat turns=8)
2026-04-11 22:39:02,262 | INFO | core.model_client | Calling model provider=openai (chat turns=10)
2026-04-11 22:39:14,479 | INFO | core.model_client | Calling model provider=openai (chat turns=12)
2026-04-11 22:39:32,100 | INFO | core.model_client | Calling model provider=openai (chat turns=14)
2026-04-11 22:39:45,129 | INFO | core.model_client | Calling model provider=openai (chat turns=16)
2026-04-11 22:40:13,074 | INFO | core.model_client | Calling model provider=openai (chat turns=18)
2026-04-11 22:40:31,610 | INFO | core.model_client | Calling model provider=openai (chat turns=20)
2026-04-11 22:40:47,048 | INFO | core.model_client | Calling model provider=openai (chat turns=22)
2026-04-11 22:41:10,538 | INFO | core.model_client | Calling model provider=openai (chat turns=24)
2026-04-11 22:41:34,341 | INFO | core.model_client | Calling model provider=openai (chat turns=26)
2026-04-11 22:41:36,753 | INFO | core.model_client | Calling model provider=openai (chat turns=28)
2026-04-11 22:41:40,107 | INFO | core.model_client | Calling model provider=openai (chat turns=30)
2026-04-11 22:42:03,417 | INFO | core.model_client | Calling model provider=openai (chat turns=32)
2026-04-11 22:42:11,825 | INFO | core.model_client | Calling model provider=openai (chat turns=34)
2026-04-11 22:42:21,267 | INFO | core.model_client | Calling model provider=openai (chat turns=36)
2026-04-11 22:56:29,574 | INFO | app | Application started and database initialized.
2026-04-11 22:56:46,452 | INFO | core.model_client | Calling model provider=openai
2026-04-11 22:56:55,241 | INFO | core.model_client | Calling model provider=openai
2026-04-11 22:57:13,418 | INFO | core.model_client | Calling model provider=openai (chat turns=2)
2026-04-11 22:57:15,794 | INFO | core.model_client | Calling model provider=openai
2026-04-11 22:57:50,220 | INFO | core.model_client | Calling model provider=openai (chat turns=4)
2026-04-11 22:57:52,982 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:05:33,928 | INFO | app | Application started and database initialized.
2026-04-11 23:05:47,152 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:05:56,537 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:06:07,733 | INFO | core.model_client | Calling model provider=openai (chat turns=2)
2026-04-11 23:06:10,120 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:06:30,779 | INFO | core.model_client | Calling model provider=openai (chat turns=4)
2026-04-11 23:06:33,706 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:06:47,766 | INFO | core.model_client | Calling model provider=openai (chat turns=6)
2026-04-11 23:06:51,105 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:07:04,907 | INFO | core.model_client | Calling model provider=openai (chat turns=8)
2026-04-11 23:07:08,587 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:07:24,614 | INFO | core.model_client | Calling model provider=openai (chat turns=10)
2026-04-11 23:07:27,797 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:26:51,401 | INFO | app | Application started and database initialized.
2026-04-11 23:27:12,825 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:27:28,152 | INFO | core.model_client | Calling model provider=openai (chat turns=2)
2026-04-11 23:27:30,199 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:27:39,175 | INFO | core.model_client | Calling model provider=openai (chat turns=4)
2026-04-11 23:27:40,913 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:28:59,193 | INFO | core.model_client | Calling model provider=openai (chat turns=6)
2026-04-11 23:29:01,654 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:29:38,364 | INFO | core.model_client | Calling model provider=openai (chat turns=8)
2026-04-11 23:29:41,591 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:30:03,464 | INFO | core.model_client | Calling model provider=openai (chat turns=10)
2026-04-11 23:30:05,890 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:31:13,143 | INFO | core.model_client | Calling model provider=openai (chat turns=12)
2026-04-11 23:31:15,806 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:31:29,117 | INFO | core.model_client | Calling model provider=openai (chat turns=14)
2026-04-11 23:31:31,766 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:31:49,080 | INFO | core.model_client | Calling model provider=openai (chat turns=16)
2026-04-11 23:31:52,242 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:32:11,819 | INFO | core.model_client | Calling model provider=openai (chat turns=18)
2026-04-11 23:32:13,773 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:39:47,157 | INFO | app | Application started and database initialized.
2026-04-11 23:45:07,945 | INFO | app | Application started and database initialized.
2026-04-11 23:45:20,616 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:45:29,769 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:45:46,471 | INFO | core.model_client | Calling model provider=openai (chat turns=2)
2026-04-11 23:45:48,868 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:46:52,500 | INFO | core.model_client | Calling model provider=openai (chat turns=4)
2026-04-11 23:46:56,654 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:50:00,273 | INFO | app | Application started and database initialized.
2026-04-11 23:50:01,875 | INFO | app | Application started and database initialized.
2026-04-11 23:50:03,535 | INFO | app | Application started and database initialized.
2026-04-11 23:52:49,216 | INFO | app | Application started and database initialized.
2026-04-11 23:53:28,967 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:53:37,753 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:54:00,768 | INFO | core.model_client | Calling model provider=openai (chat turns=2)
2026-04-11 23:54:03,546 | INFO | core.model_client | Calling model provider=openai
2026-04-11 23:55:00,101 | INFO | core.model_client | Calling model provider=openai (chat turns=4)
2026-04-11 23:55:03,134 | INFO | core.model_client | Calling model provider=openai
2026-04-12 21:21:47,647 | INFO | app | Application started and database initialized.
2026-04-12 21:21:47,648 | INFO | app | Model env: OPENAI_API_KEY=set | MODEL_PROVIDER=(auto) | AWS keys for Bedrock=missing
2026-04-12 21:24:09,848 | INFO | core.model_client | Calling model provider=openai
2026-04-12 21:24:18,840 | INFO | core.model_client | Calling model provider=openai
2026-04-12 22:06:40,330 | INFO | core.model_client | Calling model provider=openai (chat turns=2)
2026-04-12 22:06:42,976 | INFO | core.model_client | Calling model provider=openai
2026-04-12 22:06:55,616 | INFO | core.model_client | Calling model provider=openai (chat turns=4)
2026-04-12 22:06:57,579 | INFO | core.model_client | Calling model provider=openai
2026-04-12 22:07:53,605 | INFO | core.model_client | Calling model provider=openai (chat turns=6)
2026-04-12 22:07:55,811 | INFO | core.model_client | Calling model provider=openai
2026-04-14 15:21:06,424 | INFO | app | Application started and database initialized.
2026-04-14 15:21:06,424 | INFO | app | Model env: OPENAI_API_KEY=set | MODEL_PROVIDER=(auto) | AWS keys for Bedrock=missing
2026-04-14 15:29:25,530 | INFO | app | Application started and database initialized.
2026-04-14 15:29:25,530 | INFO | app | Model env: OPENAI_API_KEY=set | MODEL_PROVIDER=(auto) | AWS keys for Bedrock=missing
2026-04-14 16:20:31,384 | INFO | app | Application started and database initialized.
2026-04-14 16:20:31,384 | INFO | app | Model env: OPENAI_API_KEY=set | MODEL_PROVIDER=(auto) | AWS keys for Bedrock=missing
2026-04-14 16:20:39,856 | INFO | app | Application started and database initialized.
2026-04-14 16:20:39,857 | INFO | app | Model env: OPENAI_API_KEY=set | MODEL_PROVIDER=(auto) | AWS keys for Bedrock=missing
2026-04-14 16:21:15,800 | INFO | app | Application started and database initialized.
2026-04-14 16:21:15,800 | INFO | app | Model env: OPENAI_API_KEY=set | MODEL_PROVIDER=(auto) | AWS keys for Bedrock=missing
2026-04-14 16:21:34,803 | INFO | app | Application started and database initialized.
